"ns","times","ks","value"
"1121","2070","totPop",435.043538191871
"1121","2070","ruralPop",0
"1121","2080","totPop",428.28353332039
"1121","2080","ruralPop",0
"1121","2090","totPop",418.59857406276
"1121","2090","ruralPop",0
"1121","2100","totPop",407.613615241594
"1121","2100","ruralPop",0
"1122","2000","totPop",153.790968836325
"1122","2000","ruralPop",1
"1122","2010","totPop",97.9636324615046
"1122","2010","ruralPop",0.153114036361705
"1122","2020","totPop",102.134735488084
"1122","2020","ruralPop",0.154067853168642
"1122","2030","totPop",104.964543183414
"1122","2030","ruralPop",0.0374006616450627
"1122","2040","totPop",106.632982765458
"1122","2040","ruralPop",0.0108912443114522
"1122","2050","totPop",107.090987692954
"1122","2050","ruralPop",0.00381855185419654
"1122","2060","totPop",106.191341494655
"1122","2060","ruralPop",0.00354282151598334
"1122","2070","totPop",104.441112831409
"1122","2070","ruralPop",0.00344557580058672
"1122","2080","totPop",101.725807491118
"1122","2080","ruralPop",0.00353754646764216
"1122","2090","totPop",98.6669990167862
"1122","2090","ruralPop",0.00314985531737885
"1122","2100","totPop",95.5100442627529
"1122","2100","ruralPop",0.00325397244544081
"1143","2000","totPop",53.6802744233998
"1143","2000","ruralPop",0.908547517757975
"1143","2010","totPop",33.3376003133289
"1143","2010","ruralPop",0.142444645731226
"1143","2020","totPop",34.4606198511835
"1143","2020","ruralPop",0.148044732204741
"1143","2030","totPop",35.1665154858488
"1143","2030","ruralPop",0.152372249083295
"1143","2040","totPop",35.4873777388387
"1143","2040","ruralPop",0.153707029089682
"1143","2050","totPop",35.4232055085593
"1143","2050","ruralPop",0.153985482796078
"1143","2060","totPop",35.1023443571631
"1143","2060","ruralPop",0.155393085718339
"1143","2070","totPop",34.5889643117421
"1143","2070","ruralPop",0.156771805596772
"1143","2080","totPop",33.7868092300643
"1143","2080","ruralPop",0.158594533851997
"1143","2090","totPop",32.6637907938032
"1143","2090","ruralPop",0.156188645392798
"1143","2100","totPop",31.7012018316467
"1143","2100","ruralPop",0.15789472952647
"1144","2000","totPop",596.685315790149
"1144","2000","ruralPop",0.546630348789554
"1144","2010","totPop",626.747753427236
"1144","2010","ruralPop",0
"1144","2020","totPop",672.223530176495
"1144","2020","ruralPop",0
"1144","2030","totPop",709.239204953683
"1144","2030","ruralPop",0
"1144","2040","totPop",737.353469719833
"1144","2040","ruralPop",0
"1144","2050","totPop",754.564305862367
"1144","2050","ruralPop",0
"1144","2060","totPop",760.548816308383
"1144","2060","ruralPop",0
"1144","2070","totPop",757.578059176583
"1144","2070","ruralPop",0
"1144","2080","totPop",745.641350459592
"1144","2080","ruralPop",0
"1144","2090","totPop",729.108644288157
"1144","2090","ruralPop",0
"1144","2100","totPop",709.863506920833
"1144","2100","ruralPop",0
"1145","2000","totPop",595.503594156021
"1145","2000","ruralPop",0.400051833853428
"1145","2010","totPop",694.823254580235
"1145","2010","ruralPop",0.0168387399464712
"1145","2020","totPop",748.846200265845
"1145","2020","ruralPop",0.0108824933522535
"1145","2030","totPop",793.476699371471
"1145","2030","ruralPop",0.000737242352851125
"1145","2040","totPop",827.934702282947
"1145","2040","ruralPop",5.88884432951909e-05
"1145","2050","totPop",849.912732593018
"1145","2050","ruralPop",4.78081988520696e-05
"1145","2060","totPop",858.679605542256
"1145","2060","ruralPop",3.78394399418279e-05
"1145","2070","totPop",856.973357230912
"1145","2070","ruralPop",3.79356111967854e-05
"1145","2080","totPop",844.793992122161
"1145","2080","ruralPop",2.88460461954465e-05
"1145","2090","totPop",826.967800214797
"1145","2090","ruralPop",2.94678541486887e-05
"1145","2100","totPop",805.810401268195
"1145","2100","ruralPop",2.0161042418944e-05
"12073","2000","totPop",1.72037379241338
"12073","2000","ruralPop",1
"12073","2010","totPop",1.02576281254242
"12073","2010","ruralPop",1
"12073","2020","totPop",1.03383968450215
"12073","2020","ruralPop",1
"12073","2030","totPop",1.05807028738301
"12073","2030","ruralPop",1
"12073","2040","totPop",1.04999341542328
"12073","2040","ruralPop",1
"12073","2050","totPop",1.04999341542328
"12073","2050","ruralPop",1
"12073","2060","totPop",1.04999341542328
"12073","2060","ruralPop",1
"12073","2070","totPop",1.04999341542328
"12073","2070","ruralPop",1
"12073","2080","totPop",1.04191654346356
"12073","2080","ruralPop",1
"12073","2090","totPop",1.01768594058269
"12073","2090","ruralPop",1
"12073","2100","totPop",1.00960906862297
"12073","2100","ruralPop",1
"12136","2000","totPop",1.67859667887134
"12136","2000","ruralPop",1
"12136","2010","totPop",1.07909787417719
"12136","2010","ruralPop",1
"12136","2020","totPop",1.07909787417719
"12136","2020","ruralPop",1
"12136","2030","totPop",1.07909787417719
"12136","2030","ruralPop",1
"12136","2040","totPop",1.07909787417719
"12136","2040","ruralPop",1
"12136","2050","totPop",1.07909787417719
"12136","2050","ruralPop",1
"12136","2060","totPop",1.07909787417719
"12136","2060","ruralPop",1
"12136","2070","totPop",1.07909787417719
"12136","2070","ruralPop",1
"12136","2080","totPop",1.07909787417719
"12136","2080","ruralPop",1
