"ns","ks","value"
"12140","MeanTemp",-3.08245
"12140","MeanPrecip",784.724
"12140","HarvWood",0
"12140","HarvCost",0
"12140","GRASYLD",7.393
"12140","meanTimeToMarket",364.768
"12140","totPop",42.4775869463108
"12140","ruralPop",1
"12140","Altitude",0
"12140","Slope",0
"12140","Soil2_Medium",1
"12140","Soil3_Heavy",0
"12140","Soil4_Stony",0
"12140","MEANYLD",0
"12140","HI_MEAN",0
"12140","LI_MEAN",0
"12140","IR_MEAN",0
"12140","SS_MEAN",0
"12142","Intercept",1
"12142","Cropland",0.0737908939933833
"12142","Forest",0.204007970417966
"12142","OtherLand",16.7700107549213
"12142","Pasture",9.59014038066734
"12142","Plantations",0
"12142","Urban",0
"12142","MeanTemp",-3.08245
"12142","MeanPrecip",784.724
"12142","HarvWood",0.527
"12142","HarvCost",100
"12142","GRASYLD",8.034
"12142","meanTimeToMarket",338.826
"12142","totPop",43.7345966938147
"12142","ruralPop",1
"12142","Altitude",0
"12142","Slope",0
"12142","Soil2_Medium",1
"12142","Soil3_Heavy",0
"12142","Soil4_Stony",0
"12142","MEANYLD",0.404884615
"12142","HI_MEAN",0.458076923
"12142","LI_MEAN",0.396615385
"12142","IR_MEAN",0.467615385
"12142","SS_MEAN",0.297230769
"12198","Intercept",1
"12198","Cropland",0.0306948152559888
"12198","Forest",0.0522233521558837
"12198","OtherLand",4.41250691013189
"12198","Pasture",1.40090492245624
"12198","Plantations",0
"12198","Urban",0
"12198","MeanTemp",5.72166
"12198","MeanPrecip",675.653
"12198","HarvWood",0
"12198","HarvCost",0
"12198","GRASYLD",6.683
"12198","meanTimeToMarket",418.96
"12198","totPop",4.74871657454722
"12198","ruralPop",1
"12198","Altitude",0
"12198","Slope",0
"12198","Soil2_Medium",1
"12198","Soil3_Heavy",0
"12198","Soil4_Stony",0
"12198","MEANYLD",0.43555
"12198","HI_MEAN",0.4614
"12198","LI_MEAN",0.428
"12198","IR_MEAN",0.487866667
"12198","SS_MEAN",0.364933333
"12199","Intercept",1
"12199","Cropland",0.00112531902840794
"12199","Forest",0
"12199","OtherLand",10.0443929232939
"12199","Pasture",1.63317694339904
"12199","Plantations",0
"12199","Urban",0.00412481427864956
"12199","MeanTemp",5.72166
"12199","MeanPrecip",675.653
"12199","HarvWood",0
"12199","HarvCost",0
"12199","GRASYLD",6.406
"12199","meanTimeToMarket",476.945
"12199","totPop",0.855957722536168
"12199","ruralPop",1
"12199","Altitude",0
"12199","Slope",0
"12199","Soil2_Medium",1
"12199","Soil3_Heavy",0
"12199","Soil4_Stony",0
"12199","MEANYLD",0
"12199","HI_MEAN",0
"12199","LI_MEAN",0
"12199","IR_MEAN",0
"12199","SS_MEAN",0
"12200","Intercept",1
"12200","Cropland",0.00117787783217489
"12200","Forest",0
"12200","OtherLand",60.9898876926053
"12200","Pasture",32.5524401921336
"12200","Plantations",0
"12200","Urban",0.00205423742894301
"12200","MeanTemp",5.72166
"12200","MeanPrecip",675.653
"12200","HarvWood",0.221
"12200","HarvCost",113.292
"12200","GRASYLD",3.841
"12200","meanTimeToMarket",308.269
"12200","totPop",3.15354357812386
